Experiment ID,15301,,,,,,,,,,,,,,,,,
Experiment name,220719_csnk1db,,,,,,,,,,,,,,,,,
Job,eb189052-7e40-4056-adb2-1b65e8df6aad,,,,,,,,,,,,,,,,,
Submitted,2020-03-30T15:56:43.569333,Finished,2020-03-30T15:56:47.038949,,,,,,,,,,,,,,,
Method,FFT NLLS,,,,,,,,,,,,,,,,,
Params,no dtr 48.0-max p(18.0-32.0),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Summary statistics,,,,,,,,,,,,,,,,,,
Phase/Amplitude method,by fit,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Group Label,N,,Period,Period Std,,Circ. Phase To Zero,Circ. Phase To Window,Circ. Phase Std,Abs Phase To Zero,Abs Phase To Window,Abs Phase Std,,Amplitude,Amplitude Std,,GOF,ERR,
scr_dmso,20,,25.76,0.86,,4.9,8.18,2.57,5.18,8.7,2.52,,2332,1085,,0.55,0.12,
ko_dmso,20,,27.07,0.98,,2.68,8.12,2.57,3.12,9.26,2.43,,2013,1831,,0.51,0.13,
scr_pf67,0,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,
ko_pf67,0,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,
,,,,,,,,,,,,,,,,,,
Individual Results,,,,,,,,,,,,,,,,,,
Phase/Amplitude method,by fit,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Data Ref,Data Label,Status,,Period,Period Err,,Circ. Phase To Zero,Circ. Phase To Window,Circ. Phase Err,Abs Phase To Zero,Abs Phase To Window,Abs Phase Err,,Amplitude,Amplitude Err,,GOF,ERR
35. [AP2],scr_dmso,,,27.13,0.48,,1.95,7.48,1.4,2.2,8.46,1.59,,4073,539,,0.59,0.13
36. [AQ2],ko_dmso,,,24.94,0.83,,8.76,10.57,2.89,9.1,10.98,3,,1231,237.9,,0.63,0.18
37. [AR2],ko_dmso,,,27.46,0.35,,2.8,8.84,0.93,3.2,10.12,1.06,,4848,399.1,,0.43,0.08
38. [AS2],ko_dmso,,,26.13,0.9,,6.34,10.25,2.91,6.9,11.16,3.17,,4450,534,,0.56,0.13
39. [AT2],ko_dmso,,,26.61,0.43,,4.09,8.79,1.18,4.53,9.75,1.3,,17.83,2.118,,0.44,0.12
40. [AU2],ko_dmso,,,27.05,0.44,,3.22,8.63,1.23,3.63,9.73,1.39,,1390,135.8,,0.58,0.1
41. [AX2],scr_pf67,IGNORED,,35.62,1,,1.52,17.17,1.65,2.25,25.49,2.44,,1986,270.6,,0.6,0.14
42. [AY2],scr_pf67,IGNORED,,35.57,0.97,,0.8,16.41,1.94,1.18,24.32,2.88,,3372,368.7,,0.56,0.11
43. [AZ2],scr_pf67,IGNORED,,33.09,0.68,,9.8,22.98,1.37,13.51,31.69,1.9,,2201,228.6,,0.64,0.1
44. [BA2],scr_pf67,IGNORED,,34.97,0.8,,3.02,18.08,1.34,4.4,26.34,1.95,,1840,218.2,,0.52,0.12
45. [BB2],scr_pf67,IGNORED,,33.47,0.66,,6.7,20.29,1.12,9.35,28.29,1.56,,1189,108.6,,0.55,0.09
46. [BC2],ko_pf67,IGNORED,,30.95,1.09,,14.76,1.54,2.78,19.04,1.99,3.59,,11.89,1.52,,0.67,0.13
47. [BD2],ko_pf67,IGNORED,,20.21,1.3,,14.68,5.68,6.26,12.36,4.78,5.27,,643,285.6,,0.67,0.52
48. [BE2],ko_pf67,IGNORED,,27.82,0.81,,0.2,6.79,2.22,0.23,7.87,2.58,,13.81,2.401,,0.71,0.17
49. [BF2],ko_pf67,IGNORED,,18.21,1.23,,22.81,7.55,6.85,17.31,5.73,5.2,,382.8,193.5,,0.47,0.74
50. [BG2],ko_pf67,IGNORED,,18.81,1.13,,14.11,0.87,7.74,11.06,0.68,6.07,,280.7,178.8,,0.64,0.63
51. [BJ2],scr_pf67,IGNORED,,32.91,1.24,,7.46,20.46,2.15,10.23,28.05,2.95,,5.35,1.202,,0.78,0.22
52. [BK2],scr_pf67,IGNORED,,33.99,1.15,,4.43,18.54,1.99,6.28,26.26,2.82,,7.2,1.344,,0.67,0.19
53. [BL2],scr_pf67,IGNORED,,33.57,0.62,,5.62,19.3,1.04,7.86,27,1.45,,10.36,1.325,,0.59,0.13
54. [BM2],scr_pf67,IGNORED,,34.65,1.07,,3.11,17.86,1.8,4.49,25.79,2.6,,2373,316.3,,0.75,0.13
55. [BN2],scr_pf67,IGNORED,,34.05,0.74,,5.65,19.81,1.23,8.01,28.11,1.75,,14.48,1.386,,0.57,0.1
56. [BO2],ko_pf67,IGNORED,,33.17,0.51,,8.37,21.64,0.86,11.57,29.91,1.19,,1987,219.8,,0.55,0.11
57. [BP2],ko_pf67,IGNORED,,19.95,2.18,,15.96,6.22,10.54,13.27,5.17,8.76,,342.5,220.7,,0.7,0.95
58. [BQ2],ko_pf67,IGNORED,,35.6,1.66,,5.04,20.68,2.44,7.47,30.67,3.62,,2352,508,,0.67,0.22
59. [BR2],ko_pf67,IGNORED,,19.03,1.21,,18.44,5.9,6.55,14.62,4.68,5.2,,2.87,1.954,,0.66,0.62
60. [BS2],ko_pf67,IGNORED,,21.61,1.14,,1.7,20.39,5.42,1.53,18.36,4.88,,673,293.7,,0.77,0.46
61. [BV2],scr_pf67,IGNORED,,33.81,0.96,,10.43,0.36,1.81,14.7,0.51,2.56,,3370,445.1,,0.76,0.13
62. [BW2],scr_pf67,IGNORED,,33.39,0.29,,9.09,22.58,0.85,12.64,31.42,1.19,,6.64,1.428,,0.74,0.22
63. [BX2],scr_pf67,IGNORED,,33.03,1.06,,5.7,18.83,2.34,7.85,25.91,3.22,,1256,205.9,,0.56,0.16
64. [BY2],scr_pf67,IGNORED,,34.14,0.87,,4.81,19.07,1.46,6.84,27.12,2.08,,11.14,1.205,,0.61,0.11
65. [BZ2],scr_pf67,IGNORED,,20.08,1.09,,12.61,3.24,5.52,10.55,2.71,4.62,,1186,278.4,,0.53,0.37
66. [CA2],ko_pf67,IGNORED,,34.37,0.13,,7.25,21.73,0.75,10.38,31.12,1.07,,17.36,2.212,,0.54,0.12
